,0_6.0_80
2021-06-13,50093.844249281916
2021-06-14,48496.54907005417
2021-06-15,46945.69235792751
2021-06-16,45456.49460205094
2021-06-17,44064.63114011864
2021-06-18,42738.795679737756
2021-06-19,41440.24509087639
2021-06-20,40181.909045305576
2021-06-21,38979.156566823716
2021-06-22,37844.70182131673
2021-06-23,36803.12960298079
2021-06-24,35861.10177087786
2021-06-25,35006.237831554856
2021-06-26,34241.37461933085
2021-06-27,33517.54665083953
2021-06-28,32838.20305510228
2021-06-29,32226.230708836694
2021-06-30,31661.382959897255
2021-07-01,31154.31423089893
2021-07-02,30663.515129579406
2021-07-03,30173.847035236457
2021-07-04,29689.36952405377
2021-07-05,29229.95287567522
2021-07-06,28800.689906895073
2021-07-07,28438.08757376638
2021-07-08,28203.35824374823
2021-07-09,28086.750717356823
2021-07-10,28093.20819163081
2021-07-11,28213.825148248663
2021-07-12,28411.491122671647
2021-07-13,28695.99471245709
2021-07-14,29084.728460931357
2021-07-15,29578.542160383076
2021-07-16,30174.527907009757
2021-07-17,30860.147318730254
2021-07-18,31678.20972108746
2021-07-19,32644.852204353272
2021-07-20,33728.894781388844
2021-07-21,34934.203674527416
2021-07-22,36269.06759725892
2021-07-23,37720.87777861176
2021-07-24,39284.62530366312
2021-07-25,41083.16835910204
2021-07-26,43245.799913453855
2021-07-27,45757.115002715116
2021-07-28,48702.77184211143
2021-07-29,52223.601091918565
2021-07-30,56309.97183304778
2021-07-31,60861.55836630829
2021-08-01,65769.52481696142
2021-08-02,70936.21352780385
2021-08-03,76254.57291321283
2021-08-04,81633.3860041712
2021-08-05,87124.83182138349
2021-08-06,92699.71547125762
2021-08-07,98308.61698906863
2021-08-08,103935.88930160669
2021-08-09,109499.5685814647
2021-08-10,115008.5280539011
2021-08-11,120530.73693785376
2021-08-12,126075.91202745812
2021-08-13,131635.68873018777
2021-08-14,137181.25556957352
2021-08-15,142818.80314087722
2021-08-16,148682.29832043382
2021-08-17,154976.91935904566
2021-08-18,161737.37504030857
2021-08-19,168815.97621908344
2021-08-20,176024.7119253221
2021-08-21,183203.4144766554
2021-08-22,189986.45307267504
2021-08-23,195518.09138325794
2021-08-24,199631.47490345428
2021-08-25,202832.53136370122
2021-08-26,205211.85387858035
2021-08-27,207158.59965604325
2021-08-28,209110.4907555618
2021-08-29,210899.53321496642
2021-08-30,212368.01170787276
2021-08-31,213349.17735025808
2021-09-01,213802.1269081097
2021-09-02,213665.6781717776
2021-09-03,212712.20545317762
2021-09-04,210993.0335474336
2021-09-05,208745.6705301608
2021-09-06,206054.21674502865
2021-09-07,202907.4131731707
2021-09-08,199305.74825022148
2021-09-09,195395.91720115326
2021-09-10,191065.0226163425
2021-09-11,186190.22682145136
2021-09-12,180938.0149276989
2021-09-13,175412.04596388637
2021-09-14,169622.2704605821
2021-09-15,163625.95806097405
2021-09-16,157486.91088662043
2021-09-17,151269.43438088172
2021-09-18,145069.38885574084
2021-09-19,138930.79961012857
2021-09-20,132857.39247139374
2021-09-21,126866.69004513253
2021-09-22,121026.32874778737
2021-09-23,115357.99960017092
2021-09-24,109874.76059595379
2021-09-25,104580.81621704134
2021-09-26,99460.79719798939
2021-09-27,94523.57255028989
2021-09-28,89845.72267247453
2021-09-29,85457.09830675813
2021-09-30,81258.98777269828
2021-10-01,77393.62550715623
2021-10-02,73847.0886920462
2021-10-03,70352.50687596432
2021-10-04,66850.91080239062
2021-10-05,63400.97764798057
2021-10-06,60050.07971214347
2021-10-07,56858.992534671714
2021-10-08,53844.97574483106
2021-10-09,50961.39069937876
2021-10-10,48192.821306659345
2021-10-11,45552.445449344355
2021-10-12,43032.734190474985
2021-10-13,40641.818100331104
2021-10-14,38392.169715015705
2021-10-15,36262.68112097702
2021-10-16,34237.476350444646
2021-10-17,32318.509227838706
