,Base 1,Base 1 -30,Base 1 -20,Base 1 -10,Base 1 +10,Base 1 +20,Base 1 +30,Base 2 -30,Base 2 -20,Base 2 -10,Base 2,Base 3 -30,Base 3 -20,Base 3 -10,Base 3
2022-02-11,213.1991359645958,170.84439604156353,203.24696141997032,213.1991359645958,213.1991359645958,213.1991359645958,213.1991359645958,174.78759512393873,204.23058830384696,213.1991359645958,213.1991359645958,3814.388471831073,4755.326563700868,5066.255672910457,5066.255672910457
2022-02-12,227.574425983034,178.19884725368107,214.42041353057107,227.574425983034,227.574425983034,227.574425983034,227.574425983034,182.7545135719454,215.71592095907226,227.574425983034,227.574425983034,4272.318867960128,5400.24866763328,5840.5543925787115,5840.5543925787115
2022-02-13,243.0571163970249,185.78573195817245,226.07770170235557,243.00810773952293,243.0571163970249,243.0571163970249,243.0571163970249,191.01964657022634,227.74322521428476,243.01300847531746,243.0571163970249,4779.504125160905,6123.623559547654,6730.43205793473,6732.4712735210505
2022-02-14,259.71281659225224,193.58760154990355,238.212334586718,259.37007112319486,259.71281659225224,259.71281659225224,259.71281659225224,199.56978958771325,240.31174386050586,259.40433888277454,259.71281659225224,5339.115850760692,6931.863489197729,7742.366852139145,7757.313643330597
2022-02-15,277.6052248986431,201.5798702892947,250.80899284729256,276.5731939520601,277.6052248986431,277.6052248986431,277.6052248986431,208.3845554592746,253.4122418543352,276.6763326449864,277.6052248986431,5953.97356155378,7831.017433068843,8884.1222675894,8931.493557041267
2022-02-16,296.78817223195546,209.72516303560414,263.8362112610586,294.56743693871084,296.78817223195546,296.78817223195546,296.78817223195546,217.4304636186266,267.0195761762491,294.7892034306098,296.78817223195546,6626.086208207549,8826.0979476903,10164.277348899117,10271.864225731715
2022-02-17,317.33656367840354,217.99787487652708,277.2752022404008,313.3403269838186,317.33656367840354,317.33656367840354,317.33656367840354,226.6860255756793,281.12167122682865,313.73894031920264,317.33656367840354,7357.597507512281,9922.148482555189,11592.267801590602,11796.91264339933
2022-02-18,339.34509074673275,226.3822471757748,291.11787373728026,332.9015132719924,339.34509074673275,339.34509074673275,339.34509074673275,236.1398104293475,295.7175425033046,333.5432302282905,339.34509074673275,8150.660441281897,11123.979516530058,13177.514697601397,13526.457266507423
2022-02-19,362.9607981266168,234.89436680666765,305.3945317142614,353.30788071788817,362.9607981266168,362.9607981266168,362.9607981266168,245.81328810143162,310.8453954315329,354.26726661231095,362.9607981266168,9008.724271915986,12437.738560883694,14930.857944428753,15483.412095276042
2022-02-20,388.4180412472413,243.60374445548172,320.201998859585,374.69355328023227,388.4180412472413,388.4180412472413,388.4180412472413,255.7834518882677,326.61131110815415,376.05419344995084,388.4180412472413,9938.014638903918,13872.766944197761,16866.44966464307,17695.898675286524
2022-02-21,415.80798032007345,252.4680167197883,335.4990773765561,397.04076238862143,415.80798032007345,415.80798032007345,415.80798032007345,266.01176358673297,342.9821474343258,398.8957777649311,415.80798032007345,10937.63614065172,15428.4401944231,18986.26332253016,20181.36571181758
2022-02-22,445.2419168630084,261.4512229072173,351.2517241988963,420.33969729400843,445.2419168630084,445.2419168630084,445.2419168630084,276.4662888716259,359.9323619216867,422.79254010515433,445.2419168630084,12006.110794213299,17102.4723569413,21289.17110759353,22955.561021758418
2022-02-23,476.8085020520893,270.55671212259335,367.47480736369596,444.6359295633744,476.90160787267075,476.90160787267075,476.90160787267075,287.15597303157136,377.4864690398048,447.8013891866389,476.817812387412,13143.459477642436,18893.497081730864,23773.585647534102,26027.131076190944
2022-02-24,510.3284524541785,279.7859436121177,384.1805599242156,469.9722750513905,510.98113936017404,510.98113936017404,510.98113936017404,298.0878764344512,395.6667575794203,473.97739824696646,510.3937082370487,14348.411335361912,20797.14970066737,26432.464761529205,29374.69957318359
2022-02-25,545.7441230933433,289.15407449304627,401.39925120822573,496.41340618508747,547.7148259598938,547.7148259598938,547.7148259598938,309.2836281733269,414.51449638043704,501.39864193567,545.9410706642644,15619.569583612521,22807.50686557705,29254.70151329128,32975.53994662057
2022-02-26,583.1987412373152,298.7319901776782,419.2354906116114,524.1136562960087,587.4527838547108,587.4527838547108,587.4527838547108,320.82395469734985,434.1478294017431,530.2346450119338,583.6235590983408,16958.977848468927,24921.90564061113,32230.75498647556,36812.32454385379
2022-02-27,622.8233301202603,308.54968087953097,437.74195650865363,553.1687191952708,630.5059244454557,630.5059244454557,630.5059244454557,332.74714565294016,454.63270643846494,560.5972953244017,623.5896548544706,18364.12862184978,27129.803166581183,35338.83283142389,40853.626733092664
