,sum_I_new,max_I_now
scenario_1165,1206485.8631525314,218971.9775543047
scenario_1166,964179.9486312056,171001.7642820388
scenario_1167,527903.4592215759,63128.11064780967
scenario_1168,454398.384874236,62530.52165457136
scenario_1169,551500.5002498641,64135.83530043223
scenario_1170,3268030.0207171035,817266.5486736764
scenario_1171,1040886.5846266302,165168.54543048685
scenario_1172,7358889.567794552,1932357.6137571752
scenario_1173,3302913.932331348,817266.5486736764
scenario_1174,3508690.022694031,877229.8039116744
scenario_1175,7585856.863322379,1987923.83362157
scenario_1176,1279315.6074091385,226951.71826882343
scenario_1177,4522679.91174124,1132480.114043898
scenario_1178,4181155.185370159,1041222.996693572
scenario_1179,4522680.098882254,1132480.114043898
scenario_1180,6018873.189784043,1533320.9657605623
scenario_1181,7753886.814847214,2012032.9535317956
scenario_1182,3787154.836507595,933212.8952670486
scenario_1183,6018873.189784043,1533320.9657605623
scenario_1184,4785086.311850848,1208733.3905792155
scenario_1185,2654033.8146522893,630033.6167424084
scenario_1186,6846814.883781021,1786060.574576456
scenario_1187,4714986.355220626,1218685.9627766728
scenario_1188,5741993.909756759,1483015.465423392
scenario_1189,4714804.887414255,1218685.9627766728
scenario_1190,758940.9427162018,115558.42802810176
scenario_1191,1073930.810534211,181941.3257255844
scenario_1192,680383.7794957154,100231.90929868974
scenario_1193,495484.3575546676,66979.98875043713
scenario_1194,936854.7746513593,161468.46716358056
scenario_1195,494828.5696342737,63710.835576212434
scenario_1196,927221.156913846,143106.15532752784
scenario_1197,1172512.891150988,210827.6570369221
scenario_1198,609583.8830473733,77932.45054481331
scenario_1199,722439.3843217436,91816.3707259568
scenario_1200,439336.4524298277,64303.122082227856
scenario_1201,3614076.2156386673,907928.647399324
scenario_1202,280976.83907375863,54690.6448398088
scenario_1203,438544.13824379124,64303.122082227856
scenario_1204,849329.4471168229,138322.01985437569
scenario_1205,481880.24406826956,57254.717731271376
scenario_1206,4815660.815058093,1223872.0860021336
scenario_1207,2638363.790360513,614353.3681933937
scenario_1208,1735160.1216259701,378835.1119089538
scenario_1209,2634007.8403893034,614353.3681933937
scenario_1210,1516292.6442524379,289785.20534971537
scenario_1211,918337.9463074275,149279.6236520766
scenario_1212,2516263.3861518796,567835.8514792988
scenario_1213,1480959.8960354098,280411.2341618929
scenario_1214,1359814.1235748623,248343.54841891985
scenario_1215,2307015.9604660235,514741.99792793306
scenario_1216,776337.3787561562,112343.06448189513
scenario_1217,1084451.958770521,185967.52709885745
scenario_1218,1200110.2358586323,216206.03148464565
scenario_1219,1064212.9236726095,180653.71518945653
scenario_1220,6399026.040145734,1663816.3756380214
scenario_1221,1013326.1205750541,186810.87555485853
